year,Month,% increase,inflation,USD TO EGP,unemployment,month/year
2022,10,12.99,0.0258,24.0714, 7.40,Oct-22
2022,9,-6.06,0.0155,19.2922, 7.40,Sep-22
2022,8,2.02,0.0088,19.0994, 7.40,Aug-22
2022,7,7,0.0131,18.8289, 7.40,Jul-22
2022,6,-8.02,-0.0015,18.6483, 7.40,Jun-22
2022,5,3.47,0.0106,18.5467, 7.40,May-22
2022,4,-3.86,0.0328,18.2108, 7.40,Apr-22
2022,3,7.35,0.0218,15.6614, 7.40,Mar-22
2022,2,17.51,0.0161,15.6608, 7.40,Feb-22
2022,1,-8.43,0.0085,15.6608, 7.40,Jan-22
2021,12,-2.89,-0.0008,15.6617,9.33,Dec-21
2021,11,4.38,0.0015,15.6603,9.33,Nov-21
2021,10,-3.22,0.0150,15.6601,9.33,Oct-21
2021,9,-9.51,0.0114,15.6599,9.33,Sep-21
2021,8,1.95,0.0007,15.6503,9.33,Aug-21
2021,7,7.21,0.0087,15.6408,9.33,Jul-21
2021,6,-1.17,0.0018,15.6389,9.33,Jun-21
2021,5,18.12,0.0069,15.6183,9.33,May-21
2021,4,-9.55,0.0089,15.6389,9.33,Apr-21
2021,3,-2.86,0.0063,15.6583,9.33,Mar-21
2021,2,0.01,0.0015,15.6267,9.33,Feb-21
2021,1,2.99,-0.0043,15.6514,9.33,Jan-21
2020,12,-9.64,-0.0041,15.6075,9.17,Dec-20
2020,11,2.23,0.0082,15.5947,9.17,Nov-20
2020,10,9.59,0.0180,15.6528,9.17,Oct-20
2020,9,-9.19,0.0029,15.7078,9.17,Sep-20
2020,8,11.74,-0.0015,15.9156,9.17,Aug-20
2020,7,-7.77,0.0038,15.9350,9.17,Jul-20
2020,6,20.04,0.0009,16.1261,9.17,Jun-20
2020,5,3.55,-0.0001,15.6986,9.17,May-20
2020,4,7.72,0.0125,15.6986,9.17,Apr-20
2020,3,-29.59,0.0061,15.6983,9.17,Mar-20
2020,2,0.5,-0.0001,15.7539,9.17,Feb-20
2020,1,5.76,0.0067,15.9917,9.17,Jan-20
2019,12,-2.96,-0.0015,15.9881,7.84,Dec-19
2019,11,-3.83,-0.0030,16.0728,7.84,Nov-19
2019,10,-3.17,0.0100,16.2503,7.84,Oct-19
2019,9,-8.8,-0.0003,16.4297,7.84,Sep-19
2019,8,3.75,0.0066,16.5092,7.84,Aug-19
2019,7,7.66,0.0176,16.5606,7.84,Jul-19
2019,6,21.81,-0.0080,16.6931,7.84,Jun-19
2019,5,-10.18,0.0112,16.9983,7.84,May-19
2019,4,-3.45,0.0050,17.2660,7.84,Apr-19
2019,3,15.33,0.0083,17.3486,7.84,Mar-19
2019,2,0.94,0.0174,17.4764,7.84,Feb-19
2019,1,-7.54,0.0060,17.8724,7.84,Jan-19
2018,12,-7.66,-0.0339,17.8651,9.82,Dec-18
2018,11,0.76,-0.0077,17.8624,9.82,Nov-18
2018,10,-12.07,0.0259,17.8581,9.82,Oct-18
2018,9,-2.92,0.0253,17.8576,9.82,Sep-18
2018,8,2.01,0.0178,17.8244,9.82,Aug-18
2018,7,-6.8,0.0243,17.8436,9.82,Jul-18
2018,6,17.95,0.0348,17.8381,9.82,Jun-18
2018,5,-13.76,0.0017,17.7314,9.82,May-18
2018,4,6.84,0.0152,17.6331,9.82,Apr-18
2018,3,2.3,0.0099,17.5681,9.82,Mar-18
2018,2,2.3,0.0029,17.6319,9.82,Feb-18
2018,1,-1.31,-0.0006,17.6185,9.82,Jan-18
2017,12,-3.65,-0.0021,17.6619,11.74,Dec-17
2017,11,-7.74,0.0097,17.6015,11.74,Nov-17
2017,10,6.14,0.0110,17.5988,11.74,Oct-17
2017,9,5.28,0.0100,17.6171,11.74,Sep-17
2017,8,-4.16,0.0113,17.6797,11.74,Aug-17
2017,7,12.49,0.0322,17.8859,11.74,Jul-17
2017,6,13.45,0.0082,18.0418,11.74,Jun-17
2017,5,-11.8,0.0167,18.0391,11.74,May-17
2017,4,0.08,0.0169,18.0382,11.74,Apr-17
2017,3,1.51,0.0195,18.0821,11.74,Mar-17
2017,2,-1.49,0.0263,17.6435,11.74,Feb-17
2017,1,0.63,0.0407,18.0231,11.74,Jan-17
2016,12,2.87,0.0313,17.9454,12.41,Dec-16
2016,11,-1.5,0.0485,15.7297,12.41,Nov-16
2016,10,3.67,0.0170,8.8583,12.41,Oct-16
2016,9,-4.41,0.0125,8.8583,12.41,Sep-16
2016,8,-3.86,0.0193,8.8574,12.41,Aug-16
2016,7,26.27,0.0074,8.8574,12.41,Jul-16
2016,6,2.79,0.0078,8.8575,12.41,Jun-16
2016,4,-1.37,0.0305,8.8572,12.41,May-16
2016,3,12.81,0.0127,8.8575,12.41,Apr-16
2016,2,14.26,0.0144,8.8572,12.41,Mar-16
2016,1,-10.73,0.0011,7.8086,12.41,Jan-16
2015,12,-0.85,-0.0009,7.8078,13.05,Dec-15
2015,11,-9.07,-0.0030,7.8061,13.05,Nov-15
2015,10,5.26,0.0217,8.0060,13.05,Oct-15
2015,9,-11.17,0.0248,7.8076,13.05,Sep-15
2015,8,5.99,0.0063,7.8059,13.05,Aug-15
2015,7,10.28,0.0071,7.8095,13.05,Jul-15
2015,6,1.42,-0.0070,7.6061,13.05,Jun-15
2015,5,-3.65,0.0119,7.6063,13.05,May-15
2015,4,4.02,0.0011,7.6038,13.05,Apr-15
2015,3,7.35,0.0155,7.6028,13.05,Mar-15
2015,2,8.02,0.0186,7.5987,13.05,Feb-15
2015,1,-4.23,0.0099,7.4370,13.05,Jan-15
2014,12,0.34,-0.0007,7.1453,13.10,Dec-14
2014,11,-7.94,-0.0154,7.1446,13.10,Nov-14
2014,10,3.14,0.0171,7.1518,13.10,Oct-14
2014,9,3.32,0.0123,7.1517,13.10,Sep-14
2014,8,3.59,0.0060,7.1516,13.10,Aug-14
2014,7,19,0.0351,7.1458,13.10,Jul-14
2014,6,-0.63,0.0084,7.1501,13.10,Jun-14
2014,5,-8.06,-0.0073,7.0861,13.10,May-14
2014,4,-3.82,0.0060,6.9855,13.10,Apr-14
2014,3,2.8,0.0068,6.9619,13.10,Mar-14
2014,2,16.95,0.0103,6.9624,13.10,Feb-14
2014,1,-10,0.0142,6.9615,13.10,Jan-14
2013,12,5.56,-0.0102,6.9015,13.15,Dec-13
2013,11,0.94,0.0095,6.8898,13.15,Nov-13
2013,10,6.19,0.0106,6.8907,13.15,Oct-13
2013,9,6.75,0.0157,6.9036,13.15,Sep-13
2013,8,15.09,0.0068,6.9892,13.15,Aug-13
2013,7,10.22,0.0086,7.0046,13.15,Jul-13
2013,6,5.71,0.0088,6.9984,13.15,Jun-13
2013,5,-2.8,-0.0016,6.9669,13.15,May-13
2013,4,-16.31,0.0147,6.8793,13.15,Apr-13
2013,3,4.89,0.0064,6.7783,13.15,Mar-13
2013,2,16.09,0.0250,6.7287,13.15,Feb-13
2013,1,-16.09,0.0169,6.5571,13.15,Jan-13
2012,12,20.95,0.0015,6.1610,12.60,Dec-12
